stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,county,state,city,start_lon,start_lat
29454,30018,CONGRESS ST AT WILBUR AVE,,40.681909000000005,-75.17239000000001,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29455,30036,WILBUR AVE 375' S OF PURSEL ST,,40.682849,-75.17347099999999,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29456,30037,WILBUR AVE AT THOMAS ST,,40.686147999999996,-75.176654,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29457,30055,THOMAS ST AT SAYRE AVE#,,40.685359000000005,-75.178602,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29459,30026,S MAIN ST AT ABBOT ST,,40.682969,-75.18279100000001,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29460,30056,S. MAIN ST AT JEFFERSON ST#,,40.684868,-75.18847199999999,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29461,30057,S. MAIN ST AT STOCKTON ST#,,40.6856,-75.19057099999999,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29462,30027,S. MAIN ST AT RIVER ST,,40.686589,-75.193412,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29463,30028,S. MAIN ST 475' N OF CROSS ST,,40.68694,-75.19609200000001,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29464,30029,S. MAIN ST AT HUDSON ST,,40.688549,-75.19883100000001,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29465,30030,S. MAIN ST AT CHURCH ST,,40.68953,-75.2007,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29468,30031,S. MAIN ST AT CHURCH ST,,40.689308000000004,-75.200562,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29469,30032,S. MAIN ST AT HUDSON ST,,40.688469,-75.198903,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29470,30033,S MAIN ST AT MERCER ST,,40.68306,-75.183662,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29471,30034,S. MAIN ST AT STOCKTON ST,,40.685468,-75.190513,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29472,30035,S. MAIN ST 220' S OF JEFFERSON ST,,40.684509000000006,-75.187813,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29473,30038,WILBUR AVE AT CONGRESS ST,,40.681898,-75.172412,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29474,30017,CONGRESS ST AT COLUMBUS AVE,,40.682739,-75.17078199999999,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29475,30012,COLUMBUS AVE AT PURSEL ST,,40.684868,-75.172691,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29476,30013,COLUMBUS AVE AT THOMAS ST,,40.687137,-75.17483299999999,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
29477,30024,ROSEBERRY ST AT HECKMAN ST,,40.696249,-75.17581,0,Warren,NJ,Phillipsburg,-74.038831,40.726087
